id,title,author,text,label
,,,,
,,,,
 soldier makes a mistake and if it is not covered up, the soldier faces the consequenses… But, there are many that think that the killing some kid by a policeman is A-OK. Like the two policemen that were canvassing a nieghborhood, knocking on doors and a 13 year old kid opens the door while holding a PS3 game controller. Cop shouts gun and 13 shots later…an innocent kid is dead and bleeding out in his own home while the Playstation is running in the background and the cops get another pass…. That’s the kind of policing that you want?? ,
,,,,
,,,,
 I will not wait to see if he’s armed or ask his intentions. I won’t refrain from using a weapon because I don’t see him with one. It is not a high school wrestling match. We won’t get up and shake hands after it is decided by score. If this same criminal finds me awake and decides to leave at once I will call a cop. It is his job to confront this person and resistance by the suspect places him in the same situation I was in when someone invaded my home. fluffnik ,,,,
,,,,
,,,,
 Then all I have to say is “oh, sorry my bad” and because accidents happen everything is o.k. right? Take your head out of the sand…Police kill people when they think their AUTHORITY is being challenged not their lives. They are protecting their ego’s. Mike ,,,
 etc., all require a confrontation with individuals that do not need to occur. That puts officers and the public’s lives at risk, neither is acceptable. The easy solution is to stop making the confrontations occur. But you do something stupid (Michael Brown) you deserve what you get. ,,
,,,,
,,,,
,,,,
1,,,,
"700-year-old Hebrew mention of Jerusalem found""",-NO AUTHOR-,"""2",700-year-old Hebrew mention of Jerusalem found Rare papyrus from 7th century B.C. refers to consignment of wineskins Published: 26 mins ago ,
700 years ago — has been found to bear the oldest known mention of Jerusalem in Hebrew. ,,,,
 was apparently acquired by the Israel Antiquities Authority during a sting in 2012 when thieves attempted to sell it to a dealer. Radiocarbon dating has determined it is from the 7th century BCE, making it one of just three extant Hebrew papyri from that period, and predating the Dead Sea Scrolls by centuries. ,,
,,,,
Cassandra Fairbanks,"""We Are Change ",,,
,,,,
,,,,
 is a fairly famous Serbian performance artist, who now lives in New York.,,,
 Abramovi? wrote:,,,,
,,,,
,,,,
,,,,
 asking:,,,,
,,,,
,,,,
,,,,
 changes things immediately.,,,,
” using what appears to be thickly congealed blood. The recipe read, at one point, “mix fresh breast milk with fresh sperm, drink on earthquake nights.”,
 did John Podesta’s brother invite him to go drink semen mixed with breast milk? Yikes. ,,,,
 toenails, and hair into a flaming five-point star — which she eventually jumped inside of, causing her to lose consciousness.,,
 which caused violent muscle spasms.,,,,
 allowing them to do as they pleased. During that time, she was stripped, cut, and one audience member even held the gun to her head.,
,,,,
,,,,
,,,,
beemasters,"""$4 Billion even after they are known to be keeping all supposedly deleted messages in their server??? Well"," I guess they need to somehow profit....probably selling content to rich blackmailers?""",1,
Dr. Marsha Coleman-Adebayo,"""2016 elections by BAR editor and columnist", Dr. Marsha Adebayo ,,
 last week. Two U.S. Senate candidates of the duopoly parties pretended to support the Green Party’s candidate’s right to join the debate, but failed to protest when cops hauled her away. “This was their ‘Rosa Parks’ moment when they could have stood for integrity and democracy” -- but failed the test. Green Party’s Margaret Flowers Challenges US Senate Debate in Maryland as Undemocratic by BAR editor and columnist, Dr. Marsha Adebayo ,,
,,,,
 the Green Party candidate for the Maryland US Senate seat, was refused the opportunity to participate in the only televised debate alongside Democratic Congressman Chris Van Hollen and Republican state Del. Kathy Szeliga. The corporate media and the political duopoly collaborated to ensure that the Green Party message would not be heard. The sham excuse used to exclude Flowers was that her poll numbers had not reached 15%. But, of course it is difficult to reach the magic number of 15% in the polls when one is systematically excluded from debates and public events. This is the revolving rigged system that Black people know so well. ,,
,,,,
 Dr. Flowers took her place on the stage shaking hands with both candidates. Standing on the stage, she turned her attention to the audience and said: ,,,
 …”I mean, you say you’re a public university and you want to educate the public, but without having a full public discussion, that doesn't actually happen.” ,
 failed to show the smallest amount of courage, leadership and commitment to anything greater than their individual ambitions and desire for power. ,,,
,,,,
 “I know a lot of Black folks are going to vote for Hilary Clinton but I can’t vote for the lesser of two evils. I’ve decided to vote for Jill Stein. I’m going to vote my conscience!” My only response after agreeing with her analysis was to add, “Don’t forget to also vote for Margaret Flowers.“ ,,,
,,,,
,,,,
,,,,
Amanda Froelich,"""Considering the violence that’s taking place near the Standing Rock protest camp(s) in North Dakota", it’s heartening to hear of an officer who is doing his best to help others. Recently," Officer... """,1
,"""Insurance Prices for Many Obamacare Customers Will Rise By Double Digits in 2017   ",,,
,,,,
,,,,
 according to a report from the Department of Health and Human Services. Some states will see much bigger jumps, others less. ,,,
 after major national carriers such as UnitedHealth Group, Humana and Aetna scaled back their roles. ,,,
” said Larry Levitt, who tracks the health care law for the nonpartisan Kaiser Family Foundation. … ,,,
 unsubsidized premiums for a hypothetical 27-year-old buying a benchmark “second-lowest cost silver plan” will jump by 116 percent, from $196 to $422, according to the administration report. ,,
000 a year, the subsidies would cover $280 of the new premium, and the consumer would pay $142. Caveat: if the consumer is making $30,000 or $40,000 his or her subsidy would be significantly lower. 
,,,,
 explained Pearson. “So, enrollees may need to change doctors or drugs when they switch insurers,” she said. ,,
” AP reports. Americans will deliver profits to insurance companies either way," as subsidy money comes from taxpayers and represents a loss of public services Americans could otherwise provide themselves.""",1,,
shelby andrews,"""0 comments ",,,
,,,,
 Settle For More. It has also been revealed that Kelly will be appearing Live With Kelly! the day after the election, marking the first time she is set to appear on Ripa’s morning show as a co-host. ,,,
,,,,
1,,,,
Redlist Renegade,"""When the people fear their government there’s Tyranny "," when the government fears the people there’s Liberty !!!""",1,
 alert and highly energized to get the job done? It’s a no-brainer, people, go out and vote to #MakeAmericaSafeAgain. ,,
 who said that these forces would operate with the goal of bolstering Iran’s hardline regime and thwarting potential plots against the Islamic Republic. ,,,,
 deputy coordinator of Iran’s Khatam-al-Anbia Garrison, an IRGC command front, was quoted as saying in an Iranian state-controlled publication closely tied to the IRGC. Iran’s secret army, the IRGC: ,
,,,,
,,,,
 despite the nuclear deal and several secret side agreements that gave Iran $1.7 billion in cash. ,,,,
,,,,
” Abnoush said. “The IRGC has defeated enemies in several fronts. The enemy surrendered and accepted to negotiate with us.” ,,,,
 and today, it is more complicated than before.” ,,,
,,,,
” Saeed Ghasseminejad, an Iran expert at the Foundation for Defense of Democracies, told the Free Beacon . “The Islamic Republic has killed hundreds of Iranians and non-Iranians around the world in a coordinated campaign of terror. Iran may decide to restart the project now that many western companies are going to Iran and Iran feels its action in Europe may not be punished strongly.” ,,
,,,,
Dave Hodges,"""Hillary Endorsed Donald Trump for President According to Wikileaks “I endorse Donald Trump”- I am Hillary Clinton and I Approve this messageary ",,,
 paid speech she wanted to see more successful businessmen and women run for office because they can’t be bought. ,,,,
1,,,,
" el primer presidente naranja de los Estados Unidos""",Tomás Fuentes,"""Donald Trump", el primer presidente naranja de los Estados Unidos EL MAGNATE ASEGURA QUE SEGUIRÁ LUCHANDO POR LA IGUALDAD DE LA COMUNIDAD NARANJOAMERICANA racismo ,
,,,,
 hijo de una mujer blanca de Kansas y de un padre naranja del Condado de Orange (California), prometió una nueva era de cambio y esperanza. Muchos de sus partidarios, como el reverendo naranja Jack Jessenson, dejaron caer lágrimas de color zanahoria por sus mejillas melocotonadas. ,
 51 años después de que se sancionara una ley que impedía votar a la población naranjoamericana en muchos estados sureños. ,,,,
 dijo en un programa de radio. “Aún es común escuchar en la calle expresiones ‘orangger’ (‘naranjucho’, en español) con total impunidad”, constató. Trump admite que ha habido cierto progreso en temas raciales, si comparamos la situación a la vivida por la comunidad naranja en la década de los 50 y los 60. ,
 que le dicen los políticamente correctos. Los blancos no solían venir, y cuando lo hacían era para insultarnos diciendo ‘aquí huele a caqui’”, escribía en el prólogo, donde también aprovechó para desmentir el rumor de su pertenencia al grupo violento Orange Panthers. ,
 no es casual. Ese mismo día se conmemoran 50 años exactos desde que la policía cargara contra unos manifestantes naranjas con gran virulencia," episodio que pasó a la historia como el Carrot Sunday (Domingo zanahorio).""",1,,
reasoning with facts,"""Why Did Attorney General Loretta Lynch Plead The Fifth? Barracuda Brigade 2016-10-28 Print The administration is blocking congressional probe into cash payments to Iran. Of course she needs to plead the 5th. She either can’t recall", refuses to answer, or just plain deflects the question. Straight up corruption at its finest! ,
 according to lawmakers and communications exclusively obtained by the Washington Free Beacon. ,,,,
 Kan.) initially presented Lynch in October with a series of questions about how the cash payment to Iran was approved and delivered. ,,,,
 refusing to answer the questions and informing the lawmakers that they are barred from publicly disclosing any details about the cash payment, which was bound up in a ransom deal aimed at freeing several American hostages from Iran. ,,,
1,,,,
 according to the media. ,,,,
 Moscow, Damascus and Tehran will fully take the initiative in the war that would also lead to negative effects to the US influence in the Middle East. ,,,
,,,,
" Uses The Money To Buy a House""",Arnold Monteverde (noreply@blogger.com),"""We have heard the stories about Apple fanatics selling body parts and changing their passport in order to get the latest products from the company", but this latest story coming from China gives a different perspective on how you can use Apple devices as a tool.,
 which she would then sell and use the money as a downpayment for a house.,,,,
 so it is indeed remarkable that the woman found the quick way to get there (however, not the most ethical one, arguably).,,
 but knowing that China suffers from a terrible male-to-female ratio let’s assume that is somehow possible. ,,,,
 then sold all of the phones to a suspiciously particular place: mobile phone recycling site Hui Shou Bao, all for a total of 120,000 Chinese yuan, the equivalent of around $17,500. The woman then used the cash for a downpayment towards a countryhouse home.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
" что разыскивают 13-летнюю дочь Сердюкова""",,"""0 комментариев 3 поделились Фото: Fotodom.ru/Коммерсантъ ",,
 и к поиску подростков подключились сотрудники ФСБ РФ. ,,,,
 в выходные школьница купила походную палатку. А 26 октября, придя домой из школы, надела теплые вещи, немного перекусила и убежала из дома на глазах удивленной бабушки. Позже родственники нашли записку," вложенную в планшет со словами: """"Я ушла познавать мир"""". "
 дочерью от второго брака бывшего министра обороны Анатолия Сердюкова. Подростки познакомилась по интернету, а за день до побега ходили вместе в театр. ,,,
" рядом с Белым домом. Перед побегом девочка отправила маме смс-сообщение: """"Я ухожу из дома"""". Телефон беглянка не отключила", поэтому аппарат успели запеленговать. ,,,
,,,,
 оба признаны виновными в оскорблении полицейских. Сидевший за рулем во время погони, Абдувахоб Маджидов, оправдан по всем эпизодам. Суд также постановил изъять элитный внедорожник в пользу государства. ,,
 на котором молодые люди на Mercedes-Benz G63 AMG нарушали правила дорожного движения, а затем пытались скрыться от полиции, вызвал большой общественный резонанс. Участники гонки получили по 15 суток административного ареста. ,,
" """"имели негативный окрас"""" и """"порочили честь и репутацию полицейских"""". Лингвисты выяснили"," что подсудимые пытались """"показать свое превосходство"""". ",,,
 ранее уже судимого, два года и семь месяцев. ,,,
,,,,
The European Union Times,"""",,,
,,,,
 â€œmay haveâ€Ś carried out unlawful attacksâ€ in Syria , failing to take necessary measures to prevent civilian killings.,,,
 Deputy Director for Research at Amnesty Internationalâ€™s Beirut regional office.,,,,
,,,,
 reports by human rights organizations and the media, photographs and video footage as well as satellite imagery, related to 11 suspected coalition attacks in Syria. The group estimates that the attacks have claimed as many as 300 civilian lives. So far none of these deaths has been acknowledged by CENTCOM.,,
 formerly ISIS, ISIL) started in Syria in 2014.,,,
 near al-Hawl in al-Hasakah governorate in northern Syria, killing 40 civilians, including 19 children, and injuring at least 30 others, the report said.
 which hit first responders trying to dig out survivors.,,,,
 wife and children â€“ a daughter who was four years old and a son who was two and a half were all killed. The woman and her son who Iâ€™d rescued were killed. Everyone but me was killed,â€ the survivor said.,,,
,,,,
 poses grave concerns over the toll which the civilian population of Mosul, Iraq is likely to face from the ongoing operation to take the city from IS. The US-led coalition is providing air support for the offensive.,,,
 including by taking all feasible precautions to spare civilians and to minimize harm to civilian homes and infrastructure,â€ said Maalouf.,,,
 which is far smaller than Mosul, killed more than 200 civilians, Amnesty estimated.,,
,,,,
 they do it. And unlike any other military in the world, they actually release the results of these investigations. And unlike any other military in the world, if the hold people accountable for their actions they [bring them to justice] too,â€ Kirby said during the press briefing on Wednesday.,
 to prevent casualties to civilians or damage to civilian infrastructure.â€,,,,
,,,,
 the reportâ€™s author, Neil Sammonds, told RT. He said that while there were some indications that the Pentagon would try to improve the targeting of its strikes in Syria, so far this hasnâ€™t happened.,
 and it means that it is quite possible that they will be killing more civilians in their campaign to retake Mosul from Islamic State.â€,,,,
 including the Al-Qaeda offshoot Al-Nusra Front. Russia says that the militants use civilians as human shields and would not allow them to leave the city, derailing several attempts by Russia to open humanitarian corridors out of the city.,,,
,,,,
,,,,
Don Anthony Dillon,"""These SCUMBAGS want to try and CLAIM the e-mails are “ILLEGITIMATE” because they were """"stolen",""""" but if you listen closely"," you will see they are always very careful to NEVER DENY what is IN the e-mails! Typical politicianspeak! They ALL need to be HANGED for TREASON!!!!""",1
,,,,
 or think counter to the objective are relegated as propaganda, ill-informed, or irrelevant. ~ Global Research, US Psychological Warfare in Ukraine .” ,
 and clamor that the world has seen in the presidential campaign were part and parcel of an Inform and Influence Operation against Americans to determine the election outcome? Bear with me for a moment as I lay out the proofs. The quote above is from an early 2015 article with the author showing what it could look like in the civilian world. ,,,,
,,,,
,,,,
,,,,
,,,,
 the mainstream media has developed a feedback loop between support for particular candidates and the political agenda they intend to support. The freedom of the press is necessary for a democracy to function.” The article further points out that it was the media that helped rig the primaries against Bernie Sanders. ,,,,
,,,,
 appointed by the President of the United States, are the who’s who of powerful media moguls in film, news, print, and radio. Appointment to the BBG is like being awarded an ambassador position for the media industry. It’s also why big media carries the same line or themes. 
 and strategist on public diplomacy and international media . He has worked on traditional and emerging security issues with both civilian and military government agencies, news organizations, think tanks, and academia across several continents. ,
,,,,
,,,,
 currently, the Atlantic Council’s main effort is to ignite a war with Russia. This may set up a major conflict of interest. ,,,
,,,,
,,,,
,,,,
,,,,
 there are NO moderates to train . ,,,,
 don’t they? ,,,,
,,,,
 people have at least a general idea of what you mean. For Democrats, it’s no different. There are different kinds of politics that fit easily under each umbrella. But the point is they are recognizable and we know where they stand on issues. ,,,
 it will be filled with OUNb and similar political partisans for the first time without dissenting voices. ,,,,
,,,,
 working in partnership and currently are in strong negotiations about becoming a single entity again.” ,,,,
 the proof it is happening now follows. ,,,,
 500,000 Ukrainians, and committed the first Holocaust at Babi Yar. Today the UCCA is funding and running the volunteer battalions raping and killing in Donbass the same way. ,,
 and the Information Operation against Americans today. If you want to know what American politics will look like within a few years, look at Ukraine. ,,,
,,,,
,,,,
 there is only one issue that we as Ukrainian Americans must focus on: Ukraine . ,,,,
,,,,
,,,,
 divided, unorganized voting group. The Central and East European Coalition is a coalition of U.S.-based organizations that represent their countries of heritage, a voting group of over 20 million people. The Ukrainian Congress Committee of America and the Ukrainian National Association are member organizations of the CEEC. Americans of East and Central European heritage can make a significant difference and influence the election result if their attention is focused.” Ukraine Weekly The Presidential Election: Can We Make A Difference ,,
,,,,
 former military psyops professionals to deny pertinent information from voters and disrupt her political opponents message. At the same time, they are paying an across the board mainstream media to simultaneously publish articles and video that lift her campaign up, disrupt, destroy, and drown out alternate messages. 
 racist , misogynist and birther who has repeatedly pledged to ban all Muslims — 1.6 billion members of an entire religion — from entering the U.S”. ,,,
 this is confusing as heck. ,,,,
 looking darned intelligent! Theirs is normally the voice of reason, maturity, and intelligence.” Joel Harding ,,
,,,,
,,,,
,,,,
 includes the collection of tactical, operational and strategic information about a competitor as well as the dissemination of information and propaganda in pursuit of a competitive advantage over an competitor or adversary in the corporate, government or military realm. ,,
 and maximize your standing in your field.” ,,,,
 as an SF qualified communicator and medic, on an A-Team. After completing his degree, Joel then received his commission as an Infantry Officer and after four years transitioned to the Military Intelligence Corps. ,,
 ask yourself if this is what elections are supposed to be? ,,,,
 Paul, Bush, and ask yourself would this be an acceptable candidate? Add what’s been shown here. Is there an acceptable candidate? ,,
,,,,
 journalists, and celebrities have completely sold their souls to support something no person with an iota of morality would do. I’ve seen them say and do things to derail candidates who would have been a million times better for those less fortunate around us. It’s unfortunate most pretend to fight the establishment, to act like they love the people more than they love the struggle and the relevance that it brings them. I am not one of those and I won’t continue to be until the good Lord takes me.” Cesar Vargas ,,
,,,,
 artillery, and rockets pointed my way, waiting for this election to be over. I am an American that lives in Donbass, and wrote many of the early breaking stories and much of the background about the conflict in Ukraine. ,
,,,,
 I believe I am witnessing a quiet coup that demands legality in America. ,,,,
,,,,
 your informed choice will no longer matter. The IIO practitioner kills dissent. That’s their job. They’re only doing their job. GH Eliason Mr. Eliason l ives in Ukraine. He writes content and optimizes web based businesses across the globe for organic search results, technical issues," and design strategies. He is also a large project construction specialist. When Fukushima happened it became known that he was a locked high rad specialist with a penchant for climbing. He was paid to climb a reactor at a sister plant to Fukushima 3 because of a “million dollar mistake”. His now works in project safety.""",1,
Michael Krieger,"""at 11:54 am 4 Comments ",,,
 there’s usually a structure fire. I doubt Haiti is any different. ,,,,
 What really happened with the Clintons in Haiti? ,,,,
,,,,
 they are thieves, they are liars,” says Haitian activist Dahoud Andre. ,,
,,,,
 will continue to level their allegations – so far all unproven – if the Democratic candidate wins the White House. ,,,,
,,,,
,,,,
,,,,
 told the BBC: “A lot of Haitians are not big fans of the Clintons, that’s for sure.” ,,,
,,,,
,,,,
000 people. ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 private contractors and donor countries’ own civilian and military agencies. ,,,,
 Port-au-Prince. ,,,,
 a nonpartisan group that has studied the quake reconstruction, told the BBC “it’s hard to say it’s been anything other than a failure”. ,,,
,,,,
 “and supplanted the role of the Haitian government and domestic producers.” ,,,,
 which is about the size of the US state of Massachusetts. ,,,,
,,,,
 who was then-secretary of state, kept an eye out for those identified by the abbreviations “FOB” (friends of Bill Clinton) or “WJC VIPs” (William Jefferson Clinton VIPs). ,,,
 a senior State Department official who was vetting incoming offers of assistance coming through the Clinton Foundation. ,,,,
 have fuelled claims the Clintons were running a pay-to-play operation, though no hard evidence of this has emerged. ,,,
,,,,
,,,,
 helped arrange a US-subsidised deal with the Haitian government to build the $300m factory complex in 2012. ,,,,
 Walmart and Target. ,,,,
 subsequently donated between $50,000 to $100,000 to the Clinton Foundation. ,,
,,,,
,,,,
,,,,
 believes that Clinton-backed projects have helped global investors more than they have benefited poverty-stricken Haitians. ,,,,
,,,,
 they will continue.” ,,,,
,,,,
1,,,,
Anonymous,"""Field is correct about the 8a companies and Trump is correct about China . http://planet.infowars.com/politics/whats-the-truth-about-american-vote-fraud-anything-to-suspect  As Curtis testifies they were downloading a lot of secret stuff from Nasa as well . Chinese controlling the vote in USA you couldnt make that up "," no wonder they have all your industry . No one can deny this didnt happen they are all there at the testimony on video .""",1,
John Kaminski,"""By John Kaminski on October 30", 2016 John Kaminski — The Rebel.org Oct 24, 2016 Dark secrets remain unrevealed as society’s fabric disintegrates Why is every major politician surrounded by Jewish ‘advisers’? ,
,,,,
,,,,
,,,,
 whose work are we doing by these actions, covertly funding Israel-friendly Arab radicals to demolish nations who refuse to do our bidding? ,,,
 who Adolf Hitler warned us about. ,,,,
,,,,
 Britain, USSR) after World War I. ,,,
,,,,
,,,,
 but had Hitler won, the Jews would not now be strutting around the world using U.S. military might as its brutal enforcer to rob all nations of the their most valuable possessions, and even more chilling, to stamp out all traces of opposition to their psychopathological hijacking of everyone’s reality. ,
 like some robot parasite destined to suck the life out of the world, as Hitler and Ford both warned us about, turning your food into poison and your daughters into tramps. ,,
,,,,
,,,,
 everyone’s first impulse would be to stop the crime, or at least report it to the cops. ,,,
 a task for which any excuse will do for these world famous killers. ,,,,
 people like Hillary Clinton and Barack Obama. Stone cold killers. And they laugh about it. ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 like the World Wars, the Great Depression and the War on Drugs. ,,,
 afraid to challenge orders they know are lies, sliding into oblivion without a clue that they are doing so. ,,,
 that they are simply following the laws of nature and the personalized deity they choose to hallucinate. ,,,,
,,,,
,,,,
,,,,
,,,,
 with Glyphosate, to make sure everyone gets poisoned. ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 exploit or destroy us. Coming unglued. ,,,,
,,,,
,,,,
 such as weapons makers who seek to widen their markets by endlessly promoting conflict, or newspaper owners who fan the flames of discord and scandal and watch their profits skyrocket. ,,,
 using U.S. muscle, has destroyed. ,,,
 cheapens our lives, makes everything artificial. Why do Jews seek to murder the natural? ,,,
,,,,
,,,,
 while those with the keys to kosher success join the ranks of ruthless guards keeping watch on a world of pathetic prisoners. ,,,,
,,,,
,,,,
 offers us no future except and increasing decay and corruption that the Jews seem to love so much. Like bloodthirsty vultures they look for stricken carcasses on the road that they can devour in their insatiable drive to consume the whole world and everything in it. ,,,,
,,,,
,,,,
,,,,
,,,,
 and pinpointing a corrupt belief system as the engine of our demise. Solely dependent on contributions from readers, please support his work by mail: 6871 Willow Creek Circle #103 ," North Port FL 34287 USA.""",1,
" Uses It As A Photo Op (VIDEO)""",Stephanie Kuklish,"""Trump Jr. Suspiciously Helps Arizona Woman Push Stalled Car", Uses It As A Photo Op (VIDEO) By Stephanie Kuklish   ,
 would suddenly feel the need to get out and help push a stalled car while campaigning in, the now swing state, Arizona . ,,
 the Maricopa County Republican Party Chairman, posted the footage on Twitter and told the Arizona Republic : “She was just stunned. She was taken aback.” This is why I'm voting Trump! @DonaldJTrumpJr helping push a ladies car off the road in 101 degree heat in Arizona after a rally today #MAGA pic.twitter.com/ngp1ZhS8Wm ,,,
,,,,
 whose grip on Arizona’s 11 electoral votes appears to be in jeopardy, will appear in downtown Phoenix for a Saturday rally, his seventh Arizona event this election season.” ,,
 has now been determined as a swing state for the 2016 election season. Arizona residents began evening out their party preference when Republican presidential nominee, Donald Trump, started making insane remarks about building walls to keep out immigrants and having Mexico pay for it. We are sure his tasteless conversations and sexual assault allegations didn’t help the situation at all. ,,
 Arizona residents still think he is a little hard to swallow. A collaborated effort between The Arizona Republic , Morrison Institute For Public Policy , and The Cronkite School of Journalism and Mass Communication resulted in a poll showing Democratic presidential nominee, Hillary Clinton pulling ahead of Trump in the election. Data from Arizona Republic/Morrison/Cronkite News poll from Oct.10-15,2016 
 Bill Clinton in 1996. ,,,,
 what should have been, one of the easiest states for the Trump campaign to snag. ,,,
,,,,
 human rights and pretty much everything that effects our everyday life. To stay on top of the topics I discuss," like and follow me at https://www.facebook.com/keeponwriting and https://facebook.com/progressivenomad . Connect""",1,,
Anonymous Coward (UID 19747754),"""Report Copyright Violation So you think SUVs are safe? Shocking video Back in the 70's everybody was driving rear wheel drive cars in the worst of snowstorm. My dad was even going hunting and fishing with his Chevrolet because that all there was back then. Now every SUV ad tries to sell us the lie that SUVs are safer in the snow and you just can't drive in the snow without one. Re: So you think SUVs are safe? Shocking video SUV's are fine...the idiot driver was going to fast and went into the snow filled shoulder. Drivers fault...not the SUV. """"I don't give a tuppenny fuck about your moral conundrum"," you meat-headed shit-sack."""" ~Bill the Butcher """"Any sufficiently advanced technology is indistinguishable from magic."""" ~Arthur C. Clarke """"He's a nut-bag! Just because the fucker's got a library card doesn't make him Yoda!"""" ~David Mills ~ Se7en """"THE PLANET IS FINE! THE PEOPLE ARE FUCKED"""" ~George Carlin RIP Anonymous Coward""",1,
skylynn jones,GUYS THE PURGE WONT HAPPEN ITS A MOVIE ITS FAKE IDIOTS,1,,
 as they embark on a one-month healing journey into the heart of the Amazon jungle. ,,,,
,,,,
" and “The Sacred Science” hopefully is merely one in a long line of exciting endeavors from this group."""" - Billy Okeefe"," McClatchy Tribune""",1,,
Editorial,"""Africa ", China , Hybrid Wars , United States By Andrew KORYBKO (USA) 
 but realistically speaking, there’ll likely be a blended development of scenarios that takes place in this heated theater of competition over the coming decades that integrates elements of both extremes. China will predictably succeed in spearheading several ultra-strategic New Silk Road development corridors in Africa, while the US will probably sabotage a few others and unleash a handful of Hybrid Wars to keep the existing ways indefinitely at bay from fully actualizing their envisioned geo-economic potential. There’s no surefire way to know with absolutely certainty what the future will bring, but it’s possible to acquire an educated expectation about the structural and systemic manner in which the identified group of states will be targeted by US-provoked Hybrid Wars. Even accounting for the possibility that some of the forthcoming examined scenarios might be “naturally occurring” in that they require little if any external pressure to instigate, there’s still a strong likelihood that at least some of the investigated possibilities will eventually occur to varying extents and that the geopolitical repercussions will indisputably impact quite negatively on China and the larger multipolar world’s grand position in the New Cold War. 
 other times not) over the continent’s affairs in order to clearly illustrate the preexisting advantages and obstacles to China’s New Silk Road vision. The subsequent chapters of the African Hybrid War research will then comprehensively examine the five separate categories of states and their pertinent neighbors that the author has already identified as being relevantly incorporated into the immediate thesis. To remind the reader about what was described in Part III of the book’s Introduction and to expand upon the earlier presented paradigmatic map in a more structurally detailed manner, the following cartographic revision will be henceforth used as the point of reference in guiding the research beyond Part I: ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 a passive victim, or a blended mix thereof. Schematic Observations ,,,
,,,,
,,,,
 for that matter) to be afflicted by Hybrid War, keeping in accordance with the axiom that this method of warfare is more often than not applied in disrupting multipolar transnational connective infrastructure projects and/or seizing control of them, it can be surmised that the ones which could most radically revolutionize the continent’s geopolitical and geo-economic would be most actively targeted and consequently receive the highest likelihood of some sort of Hybrid War destabilization in the coming future. All of this will be described in detail in Part I, but for now it’s enough to know that the identified states lay along the paths of China’s presently constructed Silk Road routes or most probable forthcoming projects that it could pursue in achieving its grand strategic ends. ,
,,,,
,,,,
,,,,
 Nigeria. ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 these latter two states are actively involved in the conflict resolution process in South Sudan and are jostling against one another for influence there in order to carve out defensive buffers (but also markets, of course) to protect themselves from this scenario. It should go without saying that South Sudan was only brought into existence because it was forcibly severed from Sudan proper over a three-decade-long civil war period, and the dynamic of anti-Khartoum action hasn’t stopped since Juba gained its independence in 2011. Therefore, South Sudan represents an even larger asymmetrical regional threat than CAR does, and their combined destabilization potential explains why they’re both categorized together as part of the Failed State Belt. 
 this realization leads one to conclude that the DRC and the areas immediately abutting it provide the most fertile ground for the transnationalization of domestic conflicts, which somewhat (but not totally) explains why the Second Congo War eventually came to involve states located far away from the actual battlespace and be nicknamed “ Africa’s World War ”. To put it another way, the Hybrid War vulnerabilities of the identified area combined with its obvious geostrategic centrality to the African continent makes it doubly capable of sucking countless states into a literal Black Hole of Chaos that could easily become the ultimate proxy war climax between the US and China. ,,
,,,,
,,,,
,,,,
Alex Ansary,"""Julian Assange to Speak Prerecorded RT Interview (11/5/16) 11/03/2016 ",,,
 2016. Start Your FREE 14-day trial! Juror explanation for Ammon Bundy verdict 11/03/2016 OREGONLIVE Juror 4 has so far provided the only public explanation of the behind-the-scenes discussions that led to t ... Doug Casey: A Civil War Could Be in the Cards After the Election 11/03/2016 LEW ROCKWELL (Source: The 2nd American Civil War by Richard Hubal," via MN Artists) Nick Giambruno: The US preside ... Putin grants Steven Seagal Russian citizenship 11/03/2016 DAILY MAIL President Vladimir Putin signed off Thursday on a decree granting Russian citizenship to American action her ... AMTV Archives""",1,,
admin,"""November 2015 Ads Watch: Israel Loving Hollywood Actor Just Issued Major Plea To America In 3 Minutes That’ll Rock The Election Oct 27", 2016 Previous post ,,
,,,,
 Milwaukee, Orlando, Baltimore,” said Voight in a new video. “We are all witness to our own people killing our police.” ,
 and frightened about it.” ,,,,
,,,,
,,,,
,,,,
,,1,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 Solution Era needs your contribution to complete the course videos," edit the content and translate the material. Let’s support their amazing efforts in creating a healthier and more sustainable world for generations to come!""",1,,
Dr. Majid Rafizadeh,"""45 Weird Bans on Women in Iran Gender apartheid in the Islamic Republic. October 27", 2016 Dr. Majid Rafizadeh ,,
 including my relatives in Iran and Syria, continue to face these injustices. Some of the following rules, which are derived from Iran’s Islamic constitution and moral police codes, were recently reported on by Deutsche Welle Farsi . They exist in may other Islamic countries as well: ,
,,,,
" recently issued an Islamic fatwa regarding officially banning women from riding bicycles. He argued that """"riding bicycles often attracts the attention of men and exposes the society to corruption", and thus contravenes women's chastity, and it must be abandoned,” according to Iran’s state-run media. ,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 the Supreme Leader and other Muslim leaders. ,,,,
,,,,
